id,longitude,latitude,time,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
20240115T19,77.56952478372068,12.980655855527084,2024-01-15 19:00:00,290.9403076171875,8.642673492431641e-07,-2.7344541549682617,0.746429443359375
20240115T20,77.56952478372068,12.980655855527084,2024-01-15 20:00:00,290.3617401123047,8.642673492431641e-07,-2.617624282836914,0.7757415771484375
20240115T21,77.56952478372068,12.980655855527084,2024-01-15 21:00:00,289.8515930175781,8.642673492431641e-07,-2.4531936645507812,0.854400634765625
20240115T22,77.56952478372068,12.980655855527084,2024-01-15 22:00:00,289.4306182861328,8.642673492431641e-07,-2.1980743408203125,0.9425811767578125
20240115T23,77.56952478372068,12.980655855527084,2024-01-15 23:00:00,289.1954803466797,8.642673492431641e-07,-1.8984222412109375,1.0310211181640625
20240116T00,77.56952478372068,12.980655855527084,2024-01-16 00:00:00,289.00030517578125,8.642673492431641e-07,-1.625244140625,1.1255035400390625
20240116T01,77.56952478372068,12.980655855527084,2024-01-16 01:00:00,288.86680603027344,0.0,-1.381500244140625,1.0818939208984375
20240116T02,77.56952478372068,12.980655855527084,2024-01-16 02:00:00,289.1753234863281,0.0,-1.5109710693359375,1.256866455078125
20240116T03,77.56952478372068,12.980655855527084,2024-01-16 03:00:00,291.2255859375,0.0,-1.3235626220703125,0.998138427734375
20240116T04,77.56952478372068,12.980655855527084,2024-01-16 04:00:00,294.39854431152344,8.568167686462402e-07,-1.6321048736572266,0.936767578125
20240116T05,77.56952478372068,12.980655855527084,2024-01-16 05:00:00,296.83180236816406,8.568167686462402e-07,-1.916661262512207,0.261383056640625
20240116T06,77.56952478372068,12.980655855527084,2024-01-16 06:00:00,298.6184387207031,8.568167686462402e-07,-1.6850099563598633,-0.7457122802734375
20240116T07,77.56952478372068,12.980655855527084,2024-01-16 07:00:00,299.7890625,1.2904405544134079e-06,-1.410970687866211,-0.6815948486328125
20240116T08,77.56952478372068,12.980655855527084,2024-01-16 08:00:00,300.6550598144531,1.2904405544134079e-06,-1.2545661926269531,-0.5658187866210938
20240116T09,77.56952478372068,12.980655855527084,2024-01-16 09:00:00,301.09947204589844,1.2904405544134079e-06,-1.1717805862426758,-0.2084980010986328
20240116T10,77.56952478372068,12.980655855527084,2024-01-16 10:00:00,301.1990509033203,1.716613667213096e-06,-1.2076683044433594,0.13954734802246094
20240116T11,77.56952478372068,12.980655855527084,2024-01-16 11:00:00,300.8994598388672,1.716613724056515e-06,-1.2760515213012695,0.44225311279296875
20240116T12,77.56952478372068,12.980655855527084,2024-01-16 12:00:00,299.93370056152344,1.716613724056515e-06,-1.3955297470092773,0.7844085693359375
20240116T13,77.56952478372068,12.980655855527084,2024-01-16 13:00:00,297.56871032714844,1.716613724056515e-06,-2.1350460052490234,1.29522705078125
20240116T14,77.56952478372068,12.980655855527084,2024-01-16 14:00:00,295.684326171875,1.716613724056515e-06,-2.4386138916015625,1.469085693359375
20240116T15,77.56952478372068,12.980655855527084,2024-01-16 15:00:00,294.4349365234375,1.716613724056515e-06,-2.593343734741211,1.5995635986328125
20240116T16,77.56952478372068,12.980655855527084,2024-01-16 16:00:00,293.5223846435547,1.716613724056515e-06,-2.7172231674194336,1.6070098876953125
20240116T17,77.56952478372068,12.980655855527084,2024-01-16 17:00:00,292.5690460205078,1.716613724056515e-06,-2.881540298461914,1.4101886749267578
20240116T18,77.56952478372068,12.980655855527084,2024-01-16 18:00:00,291.6378173828125,1.716613724056515e-06,-2.8915090560913086,1.1750316619873047
20240116T19,77.56952478372068,12.980655855527084,2024-01-16 19:00:00,291.3763427734375,1.716613724056515e-06,-2.733332633972168,1.1435070037841797
20240116T20,77.56952478372068,12.980655855527084,2024-01-16 20:00:00,290.84898376464844,1.716613724056515e-06,-2.6347694396972656,0.933868408203125
20240116T21,77.56952478372068,12.980655855527084,2024-01-16 21:00:00,290.1780090332031,1.716613724056515e-06,-2.500123977661133,0.8975677490234375
